Model	Length(in)	Width(in)	Height(in)	Volume(cubic in)
0A0	9.25	6.5	2.25	135
A0 (BR0)	10.25	7	2.25	161
A1 (BH0, BY0, BYO)	10	7	3.25	227
A1	10	7	3	210
A3 (BH1, BY1)	10	7	6	367
A3	12.5	9.5	3	356
A4	12	8.5	7	714
1A1 (BY2)	11.5	8.5	4.25	415
1A3 (BY4)	12.5	9.75	3.25	396
1A5 (B45,BF5)	13.5	11	4.75	705
1A7 (B47,BF7)	14.5	8	7.25	841
1A9 (B48)	14	12.5	9.5	1662
1AB (BFA)	14.25	9	6.25	801
1AC (B7N)	13.5	11.25	9.75	1480
1AD (BY8, BND)	13.5	9.5	3.5	449
1AE (BY9-BNB)	13	10	8.25	1072
1BG	18	21.5	5.25	2032
BP0 (V4)	10	8	2	160
BP1 (V4)	13.25	9.5	2.25	283
2AA	24	16	4.25	1632
2A0	20	16	7	2240
2A5	20	11	4.25	935
2A6	21	17	10.5	3748
2A7	24	17.25	4.25	1759
2A8	26	19	9	4446
3A1	31	20.5	10.5	6672
B0 (BS2)	17.25	12	11.25	2328
B0	17	11	11	2057
B05	22	15	5	3300
B11	28	16	6	2688
B14	24	18	8	3456
1B2	15	12	3	540
1B4 (B4D, BFD)	17.75	14.25	8.25	2086
1B4	17	13	8	1768
1B9	18	9	7	1134
1B9 (B4E, BFE)	18.25	9	9	1478
1BA (B4F, BFF)	19	12.25	11.25	2618
1BB (B4G, BFG)	19.25	14.75	12.25	3478
1BF	19.25	14	3.25	875
2BB	22	16.5	14	5082
2B4	14	17	3.25	773
2B5 (B31)	15.5	13	12	2418
BM2	12	9.5	2.5	285
BM3	12	9.5	5	570
BM5	12	9	4	432
BT2 (S7)	24	15	3	1080
BT9 (S6A)	5	5	35.5	887
C1	19	13	4	988
C2	19	13	5.75	1420
C3	19	13	8	1976
C3	19	13	7.75	1914
C4	19	13.25	12	3021
CB4 (B58)	6.5	12	58	4524
D4	22	18	12	4752
E1	16	9	4	576
E4	16	12	4	768
E6	16	12	8	1536
F3	26	19	8.75	4323
J7 (B7H)	40.5	5.25	5.25	1116
J7A	52.5	5.25	5.25	1447
K3 (B42-BF2)	18.75	13.25	6.25	1552
K4 (B5E)	19.5	13	8.25	2091
K89	44.5	10	10	4450
N3	15	11	5	825
N3 (B41, BF1, BJ0)	16.25	12	5.25	1023
N6 (B40)	6.25	12	16	1200
P1 (BS5)	21.25	15.25	6.25	2025
P2	20.75	17.75	15.5	5708
P4 (BS8)	26	16.25	7.25	3063
P5	25.75	20.75	16.5	8816
P7 (BSB)	28	19.5	8.25	4504
P8	18	22.75	3.75	1535
P9 (B77-B87)	27.5	22.5	8	4950
PA (BS3)	20.25	13.75	12.25	3410
PB (BCS)	23	15	12	4140
PC	23.75	16	4	1520
Q2 (BC9)	34	22	13.5	10098
Q3	36.5	10.5	3.25	1245
Q4	20	37	3	2220
Q5	30	37	3	3330
Q6	37	29	3	3219
S5 (B44)	22.25	18.25	12.25	4974
S6A (BT8)	35	5	5	875
S8 (B7M)	26	15	4	1560
U0 (BSG)	40	12	9.25	4440
U1 (BCS â€“ B7T)	40	10	5.5	2200
U2 (BFR)	40.25	22.25	16.25	14552
U3 (BFR)	40	10.5	3.75	1575
U4 (B76)	40	9	7.5	2700
U5 (B80)	40	20	14	11200
W01 (BDA)	10	8	6.5	520
W02 (BDB)	12.75	11	8.5	1192
Z1	12	9	4	432
Z4	16	12.25	6.25	1225
Z05	16	10.25	10.25	1681
Z06	16	14	10.25	2296
Z16	16	14.25	6.5	1482
Z14	18.25	13	5.5
130 (Z13)	13.25	8.25	10.5
20	9	6	5.25
120 (Z12)	16	9.5	6.25
2BK	19	16.5	11.75
100 (Z10)	13.5	11	5.25
28 (ZM1)	10	8	4.5
50 (Z05)	13	11.25	3.5
1B2 (BO1)	15.75	12.75	3.5
3A3 (B75)	20.5	31	3.5
60	12	9	5.25
B70 (PD)	30	7.25	5.75
56	11	8	6
80	12	16	3
D37	25	20	13.75
10	9	6	3.5
81	15	10	4.5
40	10	6.25	7
70	18	5.25	6
170 (Z17)	17.5	13.5	8
1BK (B73)	21	16	4.75
118	14.25	11	5.75
110 (Z11)	18	14	3.5
176	18	14	10
143	16	12.25	7
93	12	9.5	7
179	22	16	8.25
90 (Z09)	11.5	7	8.5
P8 (B72)	23	18.5	3.5
128 (ZM6)	12.75	10.5	8
134	18	13	4
160	18.25	14	6.5
168 (ZM0)	15.5	10	12